file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,132,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,19
style.css,133,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,134,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,135,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,17
style.css,136,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,1,10
style.css,137,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,8
style.css,138,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,16
style.css,139,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,24
style.css,140,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,21
style.css,141,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,13
style.css,142,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,143,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,144,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,17
style.css,145,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,1,10
style.css,146,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,1,8
style.css,147,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,15
style.css,148,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,34
style.css,149,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,15
style.css,150,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,13
style.css,151,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,152,css,47ada751,Marianne Sawires,2025-10-20,15:28:25,-07:00,2025-10-20T15:28:25-07:00,0,0
style.css,153,css,47ada751,Marianne Sawires,2025-10-20,15:28:25,-07:00,2025-10-20T15:28:25-07:00,0,34
style.css,154,css,47ada751,Marianne Sawires,2025-10-20,15:28:25,-07:00,2025-10-20T15:28:25-07:00,0,21
style.css,155,css,d25e8345,Marianne Sawires,2025-10-20,15:42:52,-07:00,2025-10-20T15:42:52-07:00,1,10
style.css,156,css,d25e8345,Marianne Sawires,2025-10-20,15:42:52,-07:00,2025-10-20T15:42:52-07:00,1,12
style.css,157,css,d25e8345,Marianne Sawires,2025-10-20,15:42:52,-07:00,2025-10-20T15:42:52-07:00,1,18
style.css,158,css,47ada751,Marianne Sawires,2025-10-20,15:28:25,-07:00,2025-10-20T15:28:25-07:00,1,13
style.css,159,css,47ada751,Marianne Sawires,2025-10-20,15:28:25,-07:00,2025-10-20T15:28:25-07:00,1,17
style.css,160,css,d25e8345,Marianne Sawires,2025-10-20,15:42:52,-07:00,2025-10-20T15:42:52-07:00,1,21
style.css,161,css,d25e8345,Marianne Sawires,2025-10-20,15:42:52,-07:00,2025-10-20T15:42:52-07:00,1,15
style.css,162,css,d25e8345,Marianne Sawires,2025-10-20,15:42:52,-07:00,2025-10-20T15:42:52-07:00,1,21
style.css,163,css,47ada751,Marianne Sawires,2025-10-20,15:28:25,-07:00,2025-10-20T15:28:25-07:00,0,0
style.css,164,css,8af8ca5a,Marianne Sawires,2025-10-31,12:42:59,-07:00,2025-10-31T12:42:59-07:00,0,0
style.css,165,css,8af8ca5a,Marianne Sawires,2025-10-31,12:42:59,-07:00,2025-10-31T12:42:59-07:00,0,36
style.css,166,css,8af8ca5a,Marianne Sawires,2025-10-31,12:42:59,-07:00,2025-10-31T12:42:59-07:00,0,13
style.css,167,css,8af8ca5a,Marianne Sawires,2025-10-31,12:42:59,-07:00,2025-10-31T12:42:59-07:00,1,18
style.css,168,css,8af8ca5a,Marianne Sawires,2025-10-31,12:42:59,-07:00,2025-10-31T12:42:59-07:00,1,16
style.css,169,css,8af8ca5a,Marianne Sawires,2025-10-31,12:42:59,-07:00,2025-10-31T12:42:59-07:00,1,11
style.css,170,css,8f659bbc,Marianne Sawires,2025-10-31,12:57:06,-07:00,2025-10-31T12:57:06-07:00,0,0
style.css,171,css,8f659bbc,Marianne Sawires,2025-10-31,12:57:06,-07:00,2025-10-31T12:57:06-07:00,0,0
style.css,172,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,0,10
style.css,173,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,12
style.css,174,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,18
style.css,175,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,22
style.css,176,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,7
style.css,177,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,14
style.css,178,css,8f659bbc,Marianne Sawires,2025-10-31,12:57:06,-07:00,2025-10-31T12:57:06-07:00,1,16
style.css,179,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,0,0
style.css,180,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,0,0
style.css,181,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,0,14
style.css,182,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,13
style.css,183,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,10
style.css,184,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,11
style.css,185,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,13
style.css,186,css,8f659bbc,Marianne Sawires,2025-10-31,12:57:06,-07:00,2025-10-31T12:57:06-07:00,1,16
style.css,187,css,c68f11a9,Marianne Sawires,2025-10-31,14:30:17,-07:00,2025-10-31T14:30:17-07:00,1,17
style.css,188,css,c68f11a9,Marianne Sawires,2025-10-31,14:30:17,-07:00,2025-10-31T14:30:17-07:00,1,16
style.css,189,css,c68f11a9,Marianne Sawires,2025-10-31,14:30:17,-07:00,2025-10-31T14:30:17-07:00,2,11
style.css,190,css,c68f11a9,Marianne Sawires,2025-10-31,14:30:17,-07:00,2025-10-31T14:30:17-07:00,2,16
style.css,191,css,c68f11a9,Marianne Sawires,2025-10-31,14:30:17,-07:00,2025-10-31T14:30:17-07:00,1,0
style.css,192,css,c68f11a9,Marianne Sawires,2025-10-31,14:30:17,-07:00,2025-10-31T14:30:17-07:00,0,0
style.css,193,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,0
style.css,194,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,0
style.css,195,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,7
style.css,196,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,15
style.css,197,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,18
style.css,198,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,8
style.css,199,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,36
style.css,200,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,19
style.css,201,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,12
style.css,202,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,18
style.css,203,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,9
style.css,204,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,28
style.css,205,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,26
style.css,206,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,6
style.css,207,css,d56445bc,Marianne Sawires,2025-10-31,13:57:35,-07:00,2025-10-31T13:57:35-07:00,1,14
style.css,208,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,0
style.css,209,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,0
style.css,210,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,12
style.css,211,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,12
style.css,212,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,18
style.css,213,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,9
style.css,214,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,16
style.css,215,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,0
style.css,216,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,0
style.css,217,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,0,20
style.css,218,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,20
style.css,219,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,9
style.css,220,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,10
style.css,221,css,71c9dd08,Marianne Sawires,2025-10-31,13:41:05,-07:00,2025-10-31T13:41:05-07:00,1,23
